code;name
11.00.00.0000;Nanggroe Aceh Darussalaam
12.00.00.0000;Sumatra Utara
13.00.00.0000;Sumatra Barat
14.00.00.0000;Riau
15.00.00.0000;Jambi
16.00.00.0000;Sumatra Selatan
17.00.00.0000;Bengkulu
18.00.00.0000;Lampung
19.00.00.0000;Kep. Bangka Belitung
21.00.00.0000;Kep. Riau
31.00.00.0000;DKI Jakarta
32.00.00.0000;Jawa Barat
33.00.00.0000;Jawa Tengah
34.00.00.0000;DI Yogyakarta
35.00.00.0000;Jawa Timur
36.00.00.0000;Banten
51.00.00.0000;Bali
52.00.00.0000;Nusa Tenggara Barat
53.00.00.0000;Nusa Tenggara Timur
61.00.00.0000;Kalimantan Barat
62.00.00.0000;Kalimantan Tengah
63.00.00.0000;Kalimantan Selatan
64.00.00.0000;Kalimantan Timur
71.00.00.0000;Sulawesi Utara
72.00.00.0000;Sulawesi Tengah
73.00.00.0000;Sulawesi Selatan
74.00.00.0000;Sulawesi Tenggara
75.00.00.0000;Gorontalo
81.00.00.0000;Maluku
82.00.00.0000;Maluku Utara
91.00.00.0000;Papua
92.00.00.0000;Irian Jaya Barat
